"","X","일자","종가","대비","등락률","시가","고가","저가","거래량","거래대금","상장시가총액","미국금리","한국금리","월","연도"
"1",1,2009-01-02,1157.4,32.93,2.93,1132.87,1157.4,1118.84,340781,4043268,3919,0.25,2.5,1,2009
"2",2,2009-01-05,1173.57,16.17,1.4,1180.98,1185.22,1166.66,414760,5288645,3945,0.25,2.5,1,2009
"3",3,2009-01-06,1194.28,20.71,1.76,1183.52,1203.59,1179.94,444195,5608839,3973,0.25,2.5,1,2009
"4",4,2009-01-07,1228.17,33.89,2.84,1198.85,1228.56,1195.2,568556,7650757,4011,0.25,2.5,1,2009
"5",5,2009-01-08,1205.7,-22.47,-1.83,1212.7,1218.43,1195.15,472344,5826335,3987,0.25,2.5,1,2009
"6",6,2009-01-09,1180.96,-24.74,-2.05,1214.5,1220.59,1179.06,443544,5328417,3963,0.25,2.5,1,2009
"7",7,2009-01-12,1156.75,-24.21,-2.05,1170.69,1177.19,1150.41,352671,3896401,3922,0.25,2.5,1,2009
"8",8,2009-01-13,1167.71,10.96,0.95,1147.99,1168.04,1133.94,381507,4102261,3941,0.25,2.5,1,2009
"9",9,2009-01-14,1182.68,14.97,1.28,1161.01,1184.52,1151.8,358877,3963837,3966,0.25,2.5,1,2009
"10",10,2009-01-15,1111.34,-71.34,-6.03,1138.47,1145.41,1108.15,366485,4568785,3879,0.25,2.5,1,2009
"11",11,2009-01-16,1135.2,23.86,2.15,1120.69,1135.79,1109.69,335688,4084346,3906,0.25,2.5,1,2009
"12",12,2009-01-19,1150.65,15.45,1.36,1146.09,1159.88,1141.31,370319,4507861,3917,0.25,2.5,1,2009
"13",13,2009-01-20,1126.81,-23.84,-2.07,1136.16,1136.48,1115.07,319533,3804185,3897,0.25,2.5,1,2009
"14",14,2009-01-21,1103.61,-23.2,-2.06,1087.43,1118.4,1085.72,334556,4144997,3870,0.25,2.5,1,2009
"15",15,2009-01-22,1116.23,12.62,1.14,1125.22,1127.35,1106.74,346827,4281504,3883,0.25,2.5,1,2009
"16",16,2009-01-23,1093.4,-22.83,-2.05,1105.43,1105.43,1087.66,268189,3558499,3861,0.25,2.5,1,2009
"17",17,2009-01-28,1157.98,64.58,5.91,1123.23,1160.19,1122.33,345266,4604520,3925,0.25,2.5,1,2009
"18",18,2009-01-29,1166.56,8.58,0.74,1165.82,1179.15,1160.75,384745,4871009,3937,0.25,2.5,1,2009
"19",19,2009-01-30,1162.11,-4.45,-0.38,1147.57,1163.76,1144.52,377035,3974972,3932,0.25,2.5,1,2009
"20",20,2009-02-02,1146.95,-15.16,-1.3,1145.87,1170.7,1136.37,374571,4478153,3916,0.25,2.5,2,2009
"21",21,2009-02-03,1163.2,16.25,1.42,1152.94,1174.28,1137.83,347703,4408618,3934,0.25,2.5,2,2009
"22",22,2009-02-04,1195.37,32.17,2.77,1183.22,1195.52,1176.1,450221,5760536,3977,0.25,2.5,2,2009
"23",23,2009-02-05,1177.88,-17.49,-1.46,1187.05,1206.73,1177.88,463562,5337966,3961,0.25,2.5,2,2009
"24",24,2009-02-06,1210.26,32.38,2.75,1199.17,1210.26,1190.67,570791,5772618,3995,0.25,2.5,2,2009
"25",25,2009-02-09,1202.69,-7.57,-0.63,1224.44,1227.73,1199.93,475950,4954661,3986,0.25,2.5,2,2009
"26",26,2009-02-10,1198.87,-3.82,-0.32,1215.05,1219.76,1186.33,468812,4152908,3980,0.25,2.5,2,2009
"27",27,2009-02-11,1190.18,-8.69,-0.72,1168.42,1193.55,1162.57,469846,4308986,3970,0.25,2.5,2,2009
"28",28,2009-02-12,1179.84,-10.34,-0.87,1183.68,1187.35,1162.58,488111,4855674,3965,0.25,2,2,2009
"29",29,2009-02-13,1192.44,12.6,1.07,1179.63,1192.48,1165.25,574846,4228208,3974,0.25,2,2,2009
"30",30,2009-02-16,1175.47,-16.97,-1.42,1183.52,1199.5,1174.73,509492,4165140,3956,0.25,2,2,2009
"31",31,2009-02-17,1127.19,-48.28,-4.11,1167.22,1167.22,1121.41,546440,4734825,3901,0.25,2,2,2009
"32",32,2009-02-18,1113.19,-14,-1.24,1111.35,1120.65,1096,598230,4681169,3881,0.25,2,2,2009
"33",33,2009-02-19,1107.1,-6.09,-0.55,1109.99,1121.27,1092.96,641511,4667949,3874,0.25,2,2,2009
"34",34,2009-02-20,1065.95,-41.15,-3.72,1095.25,1102.44,1056.34,587441,4146131,3839,0.25,2,2,2009
"35",35,2009-02-23,1099.55,33.6,3.15,1058.54,1099.55,1051.52,396062,3870962,3867,0.25,2,2,2009
"36",36,2009-02-24,1063.88,-35.67,-3.24,1061.56,1071.93,1055.86,576296,3891797,3836,0.25,2,2,2009
"37",37,2009-02-25,1067.08,3.2,0.3,1094.7,1095.73,1061.6,735368,4146945,3841,0.25,2,2,2009
"38",38,2009-02-26,1054.79,-12.29,-1.15,1077.71,1100.45,1036.67,575093,4141636,3826,0.25,2,2,2009
"39",39,2009-02-27,1063.03,8.24,0.78,1056.71,1076.81,1048.05,498309,3595999,3834,0.25,2,2,2009
"40",40,2009-03-02,1018.81,-44.22,-4.16,1044.28,1044.28,1010.87,413949,3359586,3809,0.25,2,3,2009
"41",41,2009-03-03,1025.57,6.76,0.66,993.85,1029.18,992.69,543382,3647543,3814,0.25,2,3,2009
"42",42,2009-03-04,1059.26,33.69,3.29,1018.9,1062.69,1008.67,490794,4215485,3831,0.25,2,3,2009
"43",43,2009-03-05,1058.18,-1.08,-0.1,1068.25,1074.56,1050.9,509907,4497847,3830,0.25,2,3,2009
"44",44,2009-03-06,1055.03,-3.15,-0.3,1036.29,1059.33,1036.29,465731,3507220,3827,0.25,2,3,2009
"45",45,2009-03-09,1071.73,16.7,1.58,1068.98,1077.13,1052.41,457911,3449749,3845,0.25,2,3,2009
"46",46,2009-03-10,1092.2,20.47,1.91,1060.61,1096.59,1060.61,614109,4886460,3863,0.25,2,3,2009
"47",47,2009-03-11,1127.51,35.31,3.23,1122.91,1127.88,1118.12,574391,5655537,3902,0.25,2,3,2009
"48",48,2009-03-12,1128.39,0.88,0.08,1126.6,1132.3,1107.6,536881,7180129,3904,0.25,2,3,2009
"49",49,2009-03-13,1126.03,-2.36,-0.21,1137.35,1147.83,1124.71,506177,5465240,3900,0.25,2,3,2009
"50",50,2009-03-16,1125.46,-0.57,-0.05,1126.09,1142.58,1119.33,436009,4429944,3899,0.25,2,3,2009
"51",51,2009-03-17,1163.88,38.42,3.41,1140.32,1166.6,1132.75,726953,5807736,3936,0.25,2,3,2009
"52",52,2009-03-18,1169.95,6.07,0.52,1176.86,1176.86,1157.11,520429,5049229,3946,0.25,2,3,2009
"53",53,2009-03-19,1161.81,-8.14,-0.7,1180.39,1186.91,1158.19,532576,5122645,3931,0.25,2,3,2009
"54",54,2009-03-20,1170.94,9.13,0.79,1165.03,1180.38,1163.59,374671,4228855,3948,0.25,2,3,2009
"55",55,2009-03-23,1199.5,28.56,2.44,1179.6,1201.23,1179.13,461576,4749377,3983,0.25,2,3,2009
"56",56,2009-03-24,1221.7,22.2,1.85,1225.94,1225.94,1205.08,512524,5895005,4005,0.25,2,3,2009
"57",57,2009-03-25,1229.02,7.32,0.6,1216.29,1229.02,1211.2,495051,5114728,4020,0.25,2,3,2009
"58",58,2009-03-26,1243.8,14.78,1.2,1226.51,1243.97,1216.49,588056,5897684,4056,0.25,2,3,2009
"59",59,2009-03-27,1237.51,-6.29,-0.51,1248.7,1256.7,1233.95,702348,7025605,4041,0.25,2,3,2009
"60",60,2009-03-30,1197.46,-40.05,-3.24,1239.8,1244.78,1196.32,527830,4901679,3989,0.25,2,3,2009
"61",61,2009-03-31,1206.26,8.8,0.73,1205.98,1228.21,1203.16,503563,5211784,3998,0.25,2,3,2009
"62",62,2009-04-01,1233.36,27.1,2.25,1214.06,1238.04,1201.71,586124,6460702,4040,0.25,2,4,2009
"63",63,2009-04-02,1276.97,43.61,3.54,1254.38,1278.56,1249.94,732211,7980881,4119,0.25,2,4,2009
"64",64,2009-04-03,1283.75,6.78,0.53,1288.56,1292.6,1274.45,618671,7761773,4130,0.25,2,4,2009
"65",65,2009-04-06,1297.85,14.1,1.1,1292.42,1315.3,1292.42,726431,7850149,4168,0.25,2,4,2009
"66",66,2009-04-07,1300.1,2.25,0.17,1296.32,1304.28,1282.41,686776,6607437,4172,0.25,2,4,2009
"67",67,2009-04-08,1262.07,-38.03,-2.93,1284.98,1287.59,1260.73,751440,6719459,4091,0.25,2,4,2009
"68",68,2009-04-09,1316.35,54.28,4.3,1274.03,1317.29,1272.02,933678,9150022,4208,0.25,2,4,2009
"69",69,2009-04-10,1336.04,19.69,1.5,1340.87,1355.69,1319.52,920397,9064786,4231,0.25,2,4,2009
"70",70,2009-04-13,1338.26,2.22,0.17,1341.74,1353.27,1328.99,815422,8236609,4236,0.25,2,4,2009
"71",71,2009-04-14,1342.63,4.37,0.33,1353.25,1356.31,1323.64,933384,8325877,4244,0.25,2,4,2009
"72",72,2009-04-15,1333.09,-9.54,-0.71,1321.6,1341.32,1305.16,815702,8221371,4228,0.25,2,4,2009
"73",73,2009-04-16,1336.72,3.63,0.27,1356.88,1371.28,1334.65,746709,8912086,4233,0.25,2,4,2009
"74",74,2009-04-17,1329,-7.72,-0.58,1354.93,1360.9,1316.11,794016,8205060,4226,0.25,2,4,2009
"75",75,2009-04-20,1336.39,7.39,0.56,1331.76,1338.9,1311.73,566858,5944084,4245,0.25,2,4,2009
"76",76,2009-04-21,1336.81,0.42,0.03,1307.95,1338.48,1303.22,639591,6520603,4248,0.25,2,4,2009
"77",77,2009-04-22,1356.02,19.21,1.44,1347.79,1360.41,1336.41,730163,8595046,4294,0.25,2,4,2009
"78",78,2009-04-23,1368.8,12.78,0.94,1367.3,1371.95,1353.16,747017,8867660,4322,0.25,2,4,2009
"79",79,2009-04-24,1354.1,-14.7,-1.07,1371.81,1375.8,1343.55,683433,8143320,4289,0.25,2,4,2009
"80",80,2009-04-27,1339.83,-14.27,-1.05,1358.2,1366.66,1334.02,547298,6993373,4258,0.25,2,4,2009
"81",81,2009-04-28,1300.24,-39.59,-2.95,1344.77,1353.8,1298.86,759036,7666212,4188,0.25,2,4,2009
"82",82,2009-04-29,1338.42,38.18,2.94,1310.62,1338.43,1299.98,599343,5664585,4254,0.25,2,4,2009
"83",83,2009-04-30,1369.36,30.94,2.31,1353.67,1377.82,1350.46,811764,8582747,4321,0.25,2,4,2009
"84",84,2009-05-04,1397.92,28.56,2.09,1386.02,1397.92,1381.12,749111,9028020,4363,0.25,2,5,2009
"85",85,2009-05-06,1393.45,-4.47,-0.32,1399.82,1408.57,1385.35,738946,9876755,4357,0.25,2,5,2009
"86",86,2009-05-07,1401.08,7.63,0.55,1414.55,1415.48,1389.82,770554,9553835,4367,0.25,2,5,2009
"87",87,2009-05-08,1412.13,11.05,0.79,1400.47,1412.14,1390.83,732206,8199850,4378,0.25,2,5,2009
"88",88,2009-05-11,1415.16,3.03,0.21,1416.42,1420.31,1405.42,681599,7002840,4381,0.25,2,5,2009
"89",89,2009-05-12,1403.51,-11.65,-0.82,1406.44,1411.21,1395.91,770682,6639587,4369,0.25,2,5,2009
"90",90,2009-05-13,1414.52,11.01,0.78,1409.59,1414.63,1400.35,713985,7052485,4380,0.25,2,5,2009
"91",91,2009-05-14,1380.95,-33.57,-2.37,1395.6,1400.38,1380.91,700942,7580624,4341,0.25,2,5,2009
"92",92,2009-05-15,1391.73,10.78,0.78,1395.15,1399.84,1385.83,702847,6841540,4351,0.25,2,5,2009
"93",93,2009-05-18,1386.68,-5.05,-0.36,1385.71,1387.2,1366.58,552497,6063756,4343,0.25,2,5,2009
"94",94,2009-05-19,1428.21,41.53,2.99,1416.95,1428.21,1411.89,767835,7668652,4395,0.25,2,5,2009
"95",95,2009-05-20,1435.7,7.49,0.52,1427.98,1436.92,1424.6,698912,6738850,4409,0.25,2,5,2009
"96",96,2009-05-21,1421.65,-14.05,-0.98,1431.03,1433.07,1412.73,867644,7893554,4391,0.25,2,5,2009
"97",97,2009-05-22,1403.75,-17.9,-1.26,1406.27,1431.32,1402.8,676837,7863533,4373,0.25,2,5,2009
"98",98,2009-05-25,1400.9,-2.85,-0.2,1393.99,1414.14,1315.21,825371,8630339,4368,0.25,2,5,2009
"99",99,2009-05-26,1372.04,-28.86,-2.06,1407.58,1409.29,1361.58,684649,8215082,4327,0.25,2,5,2009
"100",100,2009-05-27,1362.02,-10.02,-0.73,1394.74,1396.77,1360.3,786694,8209178,4307,0.25,2,5,2009
"101",101,2009-05-28,1392.17,30.15,2.21,1355.89,1392.17,1345.1,657878,7347899,4358,0.25,2,5,2009
"102",102,2009-05-29,1395.89,3.72,0.27,1393.25,1398.44,1380.68,549746,7057542,4365,0.25,2,5,2009
"103",103,2009-06-01,1415.1,19.21,1.38,1394.92,1415.1,1384.45,558960,6350364,4388,0.25,2,6,2009
"104",104,2009-06-02,1412.85,-2.25,-0.16,1437.15,1437.76,1411.62,705294,8291984,4382,0.25,2,6,2009
"105",105,2009-06-03,1414.89,2.04,0.14,1423.8,1427.05,1402.76,731509,7355229,4386,0.25,2,6,2009
"106",106,2009-06-04,1378.14,-36.75,-2.6,1410.24,1411.11,1375.94,583311,6956173,4340,0.25,2,6,2009
"107",107,2009-06-05,1394.71,16.57,1.2,1392.63,1394.71,1373.24,511501,5974012,4361,0.25,2,6,2009
"108",108,2009-06-08,1393.3,-1.41,-0.1,1394.23,1411.27,1387.41,516708,5442691,4360,0.25,2,6,2009
"109",109,2009-06-09,1371.84,-21.46,-1.54,1406.66,1410,1371.52,485671,5916610,4329,0.25,2,6,2009
"110",110,2009-06-10,1414.88,43.04,3.14,1379.61,1414.88,1376.46,501867,6067327,4385,0.25,2,6,2009
"111",111,2009-06-11,1419.39,4.51,0.32,1411.92,1435.28,1407.5,490784,7040361,4394,0.25,2,6,2009
"112",112,2009-06-12,1428.59,9.2,0.65,1428.87,1436.23,1416.5,508571,5358263,4403,0.25,2,6,2009
"113",113,2009-06-15,1412.42,-16.17,-1.13,1427.75,1427.75,1401.19,434554,4985137,4384,0.25,2,6,2009
"114",114,2009-06-16,1399.15,-13.27,-0.94,1394.7,1410.01,1389.33,473881,4608363,4370,0.25,2,6,2009
"115",115,2009-06-17,1391.17,-7.98,-0.57,1391.97,1397.21,1384.13,456091,4639366,4359,0.25,2,6,2009
"116",116,2009-06-18,1375.76,-15.41,-1.11,1390.22,1396.75,1371.38,502154,4539043,4339,0.25,2,6,2009
"117",117,2009-06-19,1383.34,7.58,0.55,1386.52,1388.75,1369.76,471006,4333950,4349,0.25,2,6,2009
"118",118,2009-06-22,1399.71,16.37,1.18,1381.85,1399.92,1379.75,410178,4314990,4372,0.25,2,6,2009
"119",119,2009-06-23,1360.54,-39.17,-2.8,1369.87,1374.44,1354.98,509170,5025014,4297,0.25,2,6,2009
"120",120,2009-06-24,1363.79,3.25,0.24,1366.01,1370,1350.31,436479,4581788,4305,0.25,2,6,2009
"121",121,2009-06-25,1392.73,28.94,2.12,1366.78,1402.35,1366.78,449174,5231754,4352,0.25,2,6,2009
"122",122,2009-06-26,1394.53,1.8,0.13,1401.57,1404.01,1388.38,425874,4823898,4356,0.25,2,6,2009
"123",123,2009-06-29,1388.45,-6.08,-0.44,1399.64,1408.94,1386.03,426318,4040765,4346,0.25,2,6,2009
"124",124,2009-06-30,1390.07,1.62,0.12,1402.3,1409.1,1385.76,473132,4815562,4350,0.25,2,6,2009
"125",125,2009-07-01,1411.66,21.59,1.55,1386.33,1414.79,1381.09,505528,5214689,4377,0.25,2,7,2009
"126",126,2009-07-02,1411.48,-0.18,-0.01,1419.15,1419.15,1403.18,464119,4756159,4376,0.25,2,7,2009
"127",127,2009-07-03,1420.04,8.56,0.61,1389.93,1420.04,1389.39,398643,4131633,4387,0.25,2,7,2009
"128",128,2009-07-06,1428.94,8.9,0.63,1419.17,1434.31,1416.2,384595,4578325,4397,0.25,2,7,2009
"129",129,2009-07-07,1434.2,5.26,0.37,1434.47,1439.57,1426.95,456758,5047764,4405,0.25,2,7,2009
"130",130,2009-07-08,1431.02,-3.18,-0.22,1424.92,1431.02,1412.68,435417,5082495,4401,0.25,2,7,2009
"131",131,2009-07-09,1430.89,-0.13,-0.01,1428.74,1443.81,1426.41,437278,5712933,4402,0.25,2,7,2009
"132",132,2009-07-10,1428.62,-2.27,-0.16,1435.52,1436.5,1415.99,456473,4729725,4400,0.25,2,7,2009
"133",133,2009-07-13,1378.12,-50.5,-3.53,1426.31,1426.31,1378.12,446682,5016392,4337,0.25,2,7,2009
"134",134,2009-07-14,1385.56,7.44,0.54,1400.53,1402,1377.6,426814,5021898,4344,0.25,2,7,2009
"135",135,2009-07-15,1420.86,35.3,2.55,1402.76,1422.41,1402.28,398395,5279848,4392,0.25,2,7,2009
"136",136,2009-07-16,1432.22,11.36,0.8,1438.02,1442.1,1426.51,423962,5538956,4407,0.25,2,7,2009
"137",137,2009-07-17,1440.1,7.88,0.55,1443.49,1445.6,1432.8,403677,4528026,4412,0.25,2,7,2009
"138",138,2009-07-20,1478.51,38.41,2.67,1447.85,1480.49,1447.11,505043,6270005,4441,0.25,2,7,2009
"139",139,2009-07-21,1488.99,10.48,0.71,1489.45,1496.87,1480.64,514660,6722693,4445,0.25,2,7,2009
"140",140,2009-07-22,1494.04,5.05,0.34,1492.37,1496.49,1485.04,506894,6074654,4447,0.25,2,7,2009
"141",141,2009-07-23,1496.49,2.45,0.16,1495.39,1504.7,1484.83,642853,6694779,4449,0.25,2,7,2009
"142",142,2009-07-24,1502.59,6.1,0.41,1508.32,1510.82,1496.89,533012,6451429,4453,0.25,2,7,2009
"143",143,2009-07-27,1524.05,21.46,1.43,1510.75,1529.26,1505.85,504075,6896269,4465,0.25,2,7,2009
"144",144,2009-07-28,1526.03,1.98,0.13,1521.49,1528.55,1518.5,431427,5593915,4468,0.25,2,7,2009
"145",145,2009-07-29,1524.32,-1.71,-0.11,1524.08,1529.8,1516.03,486410,6196531,4464,0.25,2,7,2009
"146",146,2009-07-30,1534.74,10.42,0.68,1524.56,1535.36,1511.13,431269,5567756,4477,0.25,2,7,2009
"147",147,2009-07-31,1557.29,22.55,1.47,1543.05,1559.07,1536.86,466526,7345685,4498,0.25,2,7,2009
"148",148,2009-08-03,1564.98,7.69,0.49,1561.94,1570.01,1554.77,490194,6909525,4509,0.25,2,8,2009
"149",149,2009-08-04,1566.37,1.39,0.09,1576.95,1586.12,1558.47,589855,8236678,4513,0.25,2,8,2009
"150",150,2009-08-05,1559.47,-6.9,-0.44,1571.71,1575.03,1557.79,494913,6058886,4503,0.25,2,8,2009
"151",151,2009-08-06,1565.04,5.57,0.36,1555.64,1572.17,1546.5,492250,6133405,4511,0.25,2,8,2009
"152",152,2009-08-07,1576,10.96,0.7,1563.13,1576.8,1559.18,477559,5720995,4527,0.25,2,8,2009
"153",153,2009-08-10,1576.11,0.11,0.01,1585.35,1588.15,1573.22,490583,5693518,4526,0.25,2,8,2009
"154",154,2009-08-11,1579.21,3.1,0.2,1572.33,1580.44,1570.51,573987,6346614,4530,0.25,2,8,2009
"155",155,2009-08-12,1565.35,-13.86,-0.88,1571.74,1571.74,1552.51,510512,6693354,4510,0.25,2,8,2009
"156",156,2009-08-13,1564.64,-0.71,-0.05,1578.95,1581.34,1564.64,562764,7669336,4508,0.25,2,8,2009
"157",157,2009-08-14,1591.41,26.77,1.71,1582.21,1594.46,1579.17,606500,6834913,4546,0.25,2,8,2009
"158",158,2009-08-17,1547.06,-44.35,-2.79,1588.73,1588.73,1541.74,594931,6825536,4492,0.25,2,8,2009
"159",159,2009-08-18,1550.24,3.18,0.21,1534.22,1560.73,1530.65,598314,6510242,4495,0.25,2,8,2009
"160",160,2009-08-19,1545.96,-4.28,-0.28,1555.03,1564.9,1545.93,521615,6782982,4493,0.25,2,8,2009
"161",161,2009-08-20,1576.39,30.43,1.97,1559.99,1577.08,1544.5,454918,6225801,4529,0.25,2,8,2009
"162",162,2009-08-21,1580.98,4.59,0.29,1582.61,1590.15,1564.45,514683,8161032,4534,0.25,2,8,2009
"163",163,2009-08-24,1612.22,31.24,1.98,1604.31,1614.05,1602.34,541263,8857555,4574,0.25,2,8,2009
"164",164,2009-08-25,1601.38,-10.84,-0.67,1603.03,1610.33,1596,461069,7656155,4561,0.25,2,8,2009
"165",165,2009-08-26,1614.12,12.74,0.8,1607.7,1615.05,1602.4,451616,6422887,4578,0.25,2,8,2009
"166",166,2009-08-27,1599.33,-14.79,-0.92,1608.83,1614.07,1590.98,426334,6231235,4556,0.25,2,8,2009
"167",167,2009-08-28,1607.94,8.61,0.54,1612.93,1616.29,1599.68,455462,7461053,4567,0.25,2,8,2009
"168",168,2009-08-31,1591.85,-16.09,-1,1607.61,1611.65,1580.28,443613,6520150,4551,0.25,2,8,2009
"169",169,2009-09-01,1623.06,31.21,1.96,1592.29,1624.34,1583.11,444449,7107530,4598,0.25,2,9,2009
"170",170,2009-09-02,1613.16,-9.9,-0.61,1598.66,1622.82,1592.48,561693,8032314,4579,0.25,2,9,2009
"171",171,2009-09-03,1613.53,0.37,0.02,1614.53,1620.06,1605.96,493292,7119959,4576,0.25,2,9,2009
"172",172,2009-09-04,1608.9,-4.63,-0.29,1623.07,1623.07,1597.2,594779,7132793,4572,0.25,2,9,2009
"173",173,2009-09-07,1608.57,-0.33,-0.02,1618.79,1619.98,1601.04,411219,5819832,4573,0.25,2,9,2009
"174",174,2009-09-08,1619.69,11.12,0.69,1616.48,1622.73,1610.91,523926,7474012,4593,0.25,2,9,2009
"175",175,2009-09-09,1607.77,-11.92,-0.74,1622.25,1622.81,1602.69,518367,7543712,4571,0.25,2,9,2009
"176",176,2009-09-10,1644.68,36.91,2.3,1615.71,1644.68,1613.76,581051,9086361,4640,0.25,2,9,2009
"177",177,2009-09-11,1651.7,7.02,0.43,1644.31,1653.77,1639.83,514657,7613935,4662,0.25,2,9,2009
"178",178,2009-09-14,1634.91,-16.79,-1.02,1653.17,1653.59,1628.96,432398,6792354,4621,0.25,2,9,2009
"179",179,2009-09-15,1653.4,18.49,1.13,1646.29,1654.92,1640.87,550450,7568675,4665,0.25,2,9,2009
"180",180,2009-09-16,1683.33,29.93,1.81,1660.43,1693.84,1660.43,568410,8873741,4710,0.25,2,9,2009
"181",181,2009-09-17,1695.47,12.14,0.72,1700.19,1704.88,1682.04,527874,9147537,4732,0.25,2,9,2009
"182",182,2009-09-18,1699.71,4.24,0.25,1695.17,1713.22,1691.64,500095,8763489,4736,0.25,2,9,2009
"183",183,2009-09-21,1695.5,-4.21,-0.25,1700.56,1709.34,1691.92,517257,5523352,4731,0.25,2,9,2009
"184",184,2009-09-22,1718.88,23.38,1.38,1701.96,1720.73,1701.57,448386,6995190,4769,0.25,2,9,2009
"185",185,2009-09-23,1711.47,-7.41,-0.43,1723.03,1723.17,1705.98,503233,7678959,4753,0.25,2,9,2009
"186",186,2009-09-24,1693.88,-17.59,-1.03,1706.19,1715.55,1680.96,421172,7594658,4728,0.25,2,9,2009
"187",187,2009-09-25,1691.48,-2.4,-0.14,1686.41,1691.71,1662.52,391940,7551953,4725,0.25,2,9,2009
"188",188,2009-09-28,1675.55,-15.93,-0.94,1678.57,1685.34,1668.97,351376,6553290,4701,0.25,2,9,2009
"189",189,2009-09-29,1690.05,14.5,0.87,1695.94,1696.71,1680.69,343692,6766272,4722,0.25,2,9,2009
"190",190,2009-09-30,1673.14,-16.91,-1,1688.6,1704.24,1665.9,369850,7960460,4699,0.25,2,9,2009
"191",191,2009-10-01,1644.63,-28.51,-1.7,1680.46,1685.01,1629.55,337358,7024531,4641,0.25,2,10,2009
"192",192,2009-10-05,1606.9,-37.73,-2.29,1622.1,1629.01,1603.71,319000,7103118,4570,0.25,2,10,2009
"193",193,2009-10-06,1598.44,-8.46,-0.53,1620.31,1626.02,1590.47,390393,6227937,4559,0.25,2,10,2009
"194",194,2009-10-07,1598,-0.44,-0.03,1619.07,1625.11,1598,411269,6718950,4558,0.25,2,10,2009
"195",195,2009-10-08,1615.46,17.46,1.09,1607.86,1615.46,1591.15,377007,6693931,4590,0.25,2,10,2009
"196",196,2009-10-09,1646.79,31.33,1.94,1622.12,1648.98,1614.61,440505,6005993,4652,0.25,2,10,2009
"197",197,2009-10-12,1639.81,-6.98,-0.42,1660.19,1661.37,1631.59,413658,4841306,4636,0.25,2,10,2009
"198",198,2009-10-13,1628.93,-10.88,-0.66,1634.49,1642.78,1614.46,420335,5414108,4615,0.25,2,10,2009
"199",199,2009-10-14,1649.09,20.16,1.24,1642.1,1653.22,1637.78,412056,5113997,4664,0.25,2,10,2009
"200",200,2009-10-15,1658.99,9.9,0.6,1661.69,1672.08,1653.33,374175,5950119,4677,0.25,2,10,2009
"201",201,2009-10-16,1640.36,-18.63,-1.12,1656.07,1667.49,1638.49,372952,5838359,4638,0.25,2,10,2009
"202",202,2009-10-19,1649.07,8.71,0.53,1633.34,1649.69,1614.85,279880,4902443,4666,0.25,2,10,2009
"203",203,2009-10-20,1659.15,10.08,0.61,1663.95,1665.65,1649.27,402306,4837860,4682,0.25,2,10,2009
"204",204,2009-10-21,1653.86,-5.29,-0.32,1649.81,1664.52,1645.56,366290,5295319,4676,0.25,2,10,2009
"205",205,2009-10-22,1630.33,-23.53,-1.42,1638.01,1650.03,1623.96,386905,4931054,4627,0.25,2,10,2009
"206",206,2009-10-23,1640.17,9.84,0.6,1643.62,1647.27,1633.11,331327,4950873,4647,0.25,2,10,2009
"207",207,2009-10-26,1657.11,16.94,1.03,1634.33,1663.03,1633.92,314208,4769977,4681,0.25,2,10,2009
"208",208,2009-10-27,1649.53,-7.58,-0.46,1646.76,1651.63,1637.15,334696,5147974,4669,0.25,2,10,2009
"209",209,2009-10-28,1609.71,-39.82,-2.41,1648.8,1652.46,1604.01,370004,5465163,4586,0.25,2,10,2009
"210",210,2009-10-29,1585.85,-23.86,-1.48,1584.52,1587.19,1564.41,372461,5708790,4554,0.25,2,10,2009
"211",211,2009-10-30,1580.69,-5.16,-0.33,1605.12,1605.12,1580.69,272706,4830826,4548,0.25,2,10,2009
"212",212,2009-11-02,1559.09,-21.6,-1.37,1543.24,1570.15,1543.24,289875,4408360,4520,0.25,2,11,2009
"213",213,2009-11-03,1549.92,-9.17,-0.59,1562.1,1565.01,1549.1,274473,3638963,4506,0.25,2,11,2009
"214",214,2009-11-04,1579.93,30.01,1.94,1556.02,1579.93,1550.73,267396,3782343,4547,0.25,2,11,2009
"215",215,2009-11-05,1552.24,-27.69,-1.75,1568.67,1571.8,1551.94,204375,3368233,4512,0.25,2,11,2009
"216",216,2009-11-06,1572.46,20.22,1.3,1577.64,1577.64,1565.48,254308,3701173,4536,0.25,2,11,2009
"217",217,2009-11-09,1576.79,4.33,0.28,1577.92,1592.1,1573.36,246233,3502745,4543,0.25,2,11,2009
"218",218,2009-11-10,1582.3,5.51,0.35,1595.33,1600.41,1580.03,276940,3893466,4549,0.25,2,11,2009
"219",219,2009-11-11,1594.82,12.52,0.79,1590.44,1594.82,1574.78,263273,3251699,4569,0.25,2,11,2009
"220",220,2009-11-12,1572.73,-22.09,-1.39,1598.55,1603.01,1572.72,282771,4843811,4541,0.25,2,11,2009
"221",221,2009-11-13,1571.99,-0.74,-0.05,1581.6,1587.07,1561.93,260028,4194425,4540,0.25,2,11,2009
"222",222,2009-11-16,1592.47,20.48,1.3,1577.63,1592.48,1566.83,246310,4018462,4566,0.25,2,11,2009
"223",223,2009-11-17,1585.98,-6.49,-0.41,1599.79,1602.67,1585.97,295963,4919238,4557,0.25,2,11,2009
"224",224,2009-11-18,1603.97,17.99,1.13,1595.88,1612.63,1594.86,279956,5197112,4583,0.25,2,11,2009
